UserId	Date	DateTimeIn	DateTimeOut	DAY						
36	1-Jun-20	6/1/2020 10:03	null	Monday						
30	1-Jun-20	6/1/2020 10:07	6/1/2020 19:19	Monday						
35	1-Jun-20	6/1/2020 10:12	6/1/2020 19:12	Monday						
29	1-Jun-20	6/1/2020 10:14	6/1/2020 19:16	Monday						
33	2-Jun-20	6/2/2020 9:57	6/2/2020 19:10	Tuesday						
36	2-Jun-20	6/2/2020 10:00	6/2/2020 19:28	Tuesday						
29	2-Jun-20	6/2/2020 10:04	null	Tuesday						
35	2-Jun-20	6/2/2020 10:14	6/2/2020 19:48	Tuesday						
30	2-Jun-20	6/2/2020 10:21	6/2/2020 19:24	Tuesday						
33	3-Jun-20	16/3/2020 0:01:00 AM	6/3/2020 19:10	Wednesday						
29	3-Jun-20	6/3/2020 10:03	6/3/2020 19:54	Wednesday						
36	3-Jun-20	6/3/2020 10:05	6/3/2020 19:34	Wednesday						
35	3-Jun-20	6/3/2020 10:06	6/3/2020 19:12	Wednesday						
30	3-Jun-20	6/3/2020 10:18	6/3/2020 19:24	Wednesday						
					
