UserId,DATE,Time In,Time Out,,Day,,,
33,1-Jul-20,9:50 AM,8:25 PM,,Wednesday,,,
36,1-Jul-20,10:01 AM,8:10 PM,,Wednesday,,,
35,1-Jul-20,10:22 AM,8:24 PM,,Wednesday,,,
29,1-Jul-20,10:31 AM,8:36 PM,,Wednesday,,,
30,1-Jul-20,null,null,,Wednesday,,,
33,2-Jul-20,9:40 AM,8:21 PM,,Thursday,,,
35,2-Jul-20,9:57 AM,8:20 PM,,Thursday,,,
36,2-Jul-20,10:03 AM,8:11 PM,,Thursday,,,
30,2-Jul-20,10:03 AM,7:18 PM,,Thursday,,,
29,2-Jul-20,10:23 AM,7:13 PM,,Thursday,,,
29,3-Jul-20,null,null,,Friday,,,
33,3-Jul-20,null,null,,Friday,,,
30,3-Jul-20,null,null,,Friday,,,
35,3-Jul-20,null,null,,Friday,,,
36,3-Jul-20,null,null,,Friday,,,
35,4-Jul-20,11:04 AM,6:59 PM,,Saturday,,,
2/2/1900 0:00,6-Jul-20,9:54 AM,8:31 PM,,Monday,,,
35,6-Jul-20,9:57 AM,8:07 PM,,Monday,,,
29,6-Jul-20,10:00 AM,8:15 PM,,Monday,,,
36,6-Jul-20,10:04 AM,8:27:00 PM,,Monday,,,
30,6-Jul-20,null,null,,Monday,,,
36,7-Jul-20,9:59 AM,7:45 PM,,Tuesday,,,
35,7-Jul-20,10:01 AM,6:58 PM,,Tuesday,,,
29,7-Jul-20,10:06 AM,8:07 PM,,Tuesday,,,
33,7-Jul-20,null,null,,Tuesday,,,
30,7-Jul-20,null,null,,Tuesday,,,
33,8-Jul-20,9:51 AM,8:20 PM,,Wednesday,,,
35,8-Jul-20,10:00 AM,8:25 PM,,Wednesday,,,
36,8-Jul-20,10:03 AM,8:20 PM,,Wednesday,,,
29,8-Jul-20,10:33 AM,8:25 PM,,Wednesday,,,
30,8-Jul-20,null,null,,Wednesday,,,
33,9-Jul-20,9:51 AM,8:00 PM,,Thursday,,,
35,9-Jul-20,9:53 AM,7:56 PM,,Thursday,,,
36,9-Jul-20,10:02 AM,7:56 PM,,Thursday,,,
29,9-Jul-20,10:09 AM,9:55 PM,,Thursday,,,
30,9-Jul-20,10:10 AM,8:03 PM,,Thursday,,,
29,10-Jul-20,10:03 AM,8:06 PM,,Friday,,,
36,10-Jul-20,10:04 AM,8:05 PM,,Friday,,,
35,10-Jul-20,10:04 AM,8:25 PM,,Friday,,,
30,10-Jul-20,10:19 AM,7:57 PM,,Friday,,,
33,10-Jul-20,10:50 AM,8:25 PM,,Friday,,,
Samia,10-Jul-20,10:51 AM,null,,Friday,,,
33,13-Jul-20,9:51 AM,8:24 PM,,Monday,,,
35,13-Jul-20,9:59 AM,8:21 PM,,Monday,,,
36,13-Jul-20,10:00 AM,3:32 PM,,Monday,,,
29,13-Jul-20,10:08 AM,null,,Monday,,,
30,13-Jul-20,10:18 AM,null,,Monday,,,
35,14-Jul-20,9:52 AM,8:16 PM,,Tuesday,,,
33,14-Jul-20,9:53 AM,8:37 PM,,Tuesday,,,
29,14-Jul-20,10:15 AM,8:45 PM,,Tuesday,,,
30,14-Jul-20,null,null,,Tuesday,,,
36,14-Jul-20,null,null,,Tuesday,,,
35,15-Jul-20,9:48 AM,3:13 PM,,Wednesday,,,
33,15-Jul-20,9:50 AM,7:05 PM,,Wednesday,,,
36,15-Jul-20,10:03 AM,8:12 PM,,Wednesday,,,
29,15-Jul-20,10:19 AM,8:41 PM,,Wednesday,,,
30,15-Jul-20,null,null,,Wednesday,,,
33,16-Jul-20,9:50 AM,7:28 PM,,Thursday,,,
36,16-Jul-20,10:18 AM,7:45 PM,,Thursday,,,
35,16-Jul-20,10:21 AM,7:27 PM,,Thursday,,,
29,16-Jul-20,11:09 AM,9:14 PM,,Thursday,,,
30,16-Jul-20,null,null,,Thursday,,,
33,17-Jul-20,9:51 AM,7:16 PM,,Friday,,,
35,17-Jul-20,9:54 AM,6:15 PM,,Friday,,,
29,17-Jul-20,10:11 AM,8:08 PM,,Friday,,,
36,17-Jul-20,10:17 AM,6:40 PM,,Friday,,,
30,17-Jul-20,null,null,,Friday,,,
36,18-Jul-20,10:12 AM,4:17 PM,,Saturday,,,
33,18-Jul-20,10:56 AM,3:47 PM,,Saturday,,,
35,18-Jul-20,11:40 AM,7:01 PM,,Saturday,,,
29,18-Jul-20,null,null,,Saturday,,,
30,18-Jul-20,null,null,,Saturday,,,
33,20-Jul-20,9:51 AM,7:10 PM,,Monday,,,
35,20-Jul-20,10:03 AM,7:10 PM,,Monday,,,
36,20-Jul-20,10:03 AM,7:00 PM,,Monday,,,
29,20-Jul-20,10:16 AM,8:02 PM,,Monday,,,
30,20-Jul-20,null,null,,Monday,,,
36,21-Jul-20,9:57 AM,7:53 PM,,Tuesday,,,
35,21-Jul-20,9:57 AM,8:03 PM,,Tuesday,,,
33,21-Jul-20,10:12 AM,8:03 PM,,Tuesday,,,
29,21-Jul-20,10:12 AM,8:13 PM,,Tuesday,,,
30,21-Jul-20,null,null,,Tuesday,,,
33,22-Jul-20,9:50 AM,7:10 PM,,Wednesday,,,
35,22-Jul-20,9:53 AM,6:29 PM,,Wednesday,,,
36,22-Jul-20,9:57 AM,7:42 PM,,Wednesday,,,
29,22-Jul-20,10:21 AM,7:21 PM,,Wednesday,,,
30,22-Jul-20,null,null,,Wednesday,,,
33,23-Jul-20,9:51 AM,7:53 PM,,Thursday,,,
35,23-Jul-20,9:55 AM,4:57 PM,,Thursday,,,
36,23-Jul-20,10:02 AM,7:34 PM,,Thursday,,,
29,23-Jul-20,10:02 AM,6:43 PM,,Thursday,,,
30,23-Jul-20,null,null,,Thursday,,,
35,24-Jul-20,9:59 AM,7:15 PM,,Friday,,,
29,24-Jul-20,10:07 AM,8:09 PM,,Friday,,,
36,24-Jul-20,10:11 AM,8:09 PM,,Friday,,,
33,24-Jul-20,2:26 PM,7:20 PM,,Friday,,,
30,24-Jul-20,null,null,,Friday,,,
33,25-Jul-20,10:36 AM,4:39 PM,,Saturday,,,
35,25-Jul-20,11:21 AM,4:39 PM,,Saturday,,,
36,25-Jul-20,null,null,,Saturday,,,
29,25-Jul-20,null,null,,Saturday,,,
30,25-Jul-20,null,null,,Saturday,,,
33,27-Jul-20,9:50 AM,7:32 PM,,Monday,,,
36,27-Jul-20,9:53 AM,8:04 PM,,Monday,,,
35,27-Jul-20,9:53 AM,7:20 PM,,Monday,,,
29,27-Jul-20,10:15 AM,7:58 PM,,Monday,,,
30,27-Jul-20,null,null,,Monday,,,
33,28-Jul-20,9:52 AM,7:15 PM,,Tuesday,,,
36,28-Jul-20,10:00 AM,7:12 PM,,Tuesday,,,
35,28-Jul-20,10:06 AM,7:31 PM,,Tuesday,,,
29,28-Jul-20,10:18 AM,9:03 PM,,Tuesday,,,
30,28-Jul-20,null,null,,Tuesday,,,
33,29-Jul-20,9:51 AM,7:08 PM,,Wednesday,,,
35,29-Jul-20,9:59 AM,6:56 PM,,Wednesday,,,
36,29-Jul-20,10:03 AM,8:14 PM,,Wednesday,,,
29,29-Jul-20,11:49 AM,9:37 PM,,Wednesday,,,
30,29-Jul-20,null,null,,Wednesday,,,
33,30-Jul-20,9:51 AM,7:55 PM,,Thursday,,,
35,30-Jul-20,9:55 AM,7:54 PM,,Thursday,,,
36,30-Jul-20,9:57 AM,9:02 PM,,Thursday,,,
29,30-Jul-20,10:03 AM,7:49 PM,,Thursday,,,
30,30-Jul-20,null,null,,Thursday,,,
33,31-Jul-20,9:51 AM,7:05 PM,,Friday,,,
35,31-Jul-20,10:05 AM,7:05 PM,,Friday,,,
36,31-Jul-20,10:09 AM,7:08 PM,,Friday,,,
29,31-Jul-20,10:30 AM,7:07 PM,,Friday,,,
30,31-Jul-20,null,null,,Friday,,,
