Date,Day,Name,Time In,Time Out,Hours,Is Late,Is Early,Is Off,Comments,,
3-Jan-20,Fri,30,10:12 AM,8:48 PM,10:36,,,,,,
3-Jan-20,Fri,29,10:05 AM,10:10 PM,12:5,,,,,,
3-Jan-20,Fri,31,11:00 AM,10:30 PM,11:30,Y,,,1 hour late,,
3-Jan-20,Fri,32,2:00 PM,10:30 PM,8:30,Y,,,"4 hours late, left 30 minutes before",,
4-Jan-20,Sat,30,10:10 AM,7:21 PM,9:11,,,,,,
4-Jan-20,Sat,29,10:05 AM,7:35 PM,9:30,,,,,,
4-Jan-20,Sat,31,1:20 PM,7:35 PM,6:15,,,,,,
4-Jan-20,Sat,32,-,-,-,,,,,,
6-Jan-20,Mon,30,10:19 AM,7:20 PM,9:1,,,,,,
6-Jan-20,Mon,29,10:19 AM,7:20 PM,9:1,,,,,,
6-Jan-20,Mon,31,12:00 PM,7:45 PM,7:45,Y,Y,,2 hours late. Left 1 hour before,,
6-Jan-20,Mon,32,11:30 AM,7:45 PM,8:15,Y,Y,,"1.5 hours late, left 45 minutes before",,
7-Jan-20,Tue,30,10:11 AM,7:20 PM,9:9,,,,,,
7-Jan-20,Tue,29,10:26 AM,7:20 PM,8:54,,,,,,
7-Jan-20,Tue,31,11:25 AM,6:50 PM,7:25,Y,Y,,"1.5 hours late, Left 1.5 hour before",,
7-Jan-20,Tue,32,1:55 PM,9:05 PM,7:10,Y,Y,,"4 hours late, left 2 hours before",,
8-Jan-20,Wed,30,11:20 AM,10:30 PM,11:10,Y,,,1 hour late,,
8-Jan-20,Wed,29,10:05 AM,10:46 PM,12:41,,,,,,
8-Jan-20,Wed,31,11:10 AM,11:00 PM,11:50,Y,,,1 hour late,,
8-Jan-20,Wed,32,11:20 AM,11:00 PM,11:40,Y,,,1 hour late,,
9-Jan-20,Thu,30,10:15 AM,9:05 PM,10:50,,,,,,
9-Jan-20,Thu,29,10:40 AM,8:43 PM,10:3,Y,,,1 hour late,,
9-Jan-20,Thu,31,11:50 AM,10:00 PM,10:10,Y,,,2 hours late,,
9-Jan-20,Thu,32,2:55 PM,10:00 PM,7:5,Y,Y,,"5 hours late, left 2 hours before",,
10-Jan-20,Fri,30,10:19 AM,9:13 PM,10:54,,,,,,
10-Jan-20,Fri,29,10:13 AM,9:28 PM,11:15,,,,,,
10-Jan-20,Fri,31,11:00 AM,9:30 PM,10:30,Y,,,1 hour late,,
10-Jan-20,Fri,32,-,-,-,,,Y,,,
11-Jan-20,Sat,30,-,-,-,,,,,,
11-Jan-20,Sat,29,10:05 AM,8:48 PM,10:43,,,,,,
11-Jan-20,Sat,31,11:00 AM,7:05 PM,8:5,,,,,,
11-Jan-20,Sat,32,3:20 PM,9:15 PM,5:55,,,,,,
13-Jan-20,Mon,30,10:00 AM,8:20 PM,10:20,,,,,,
13-Jan-20,Mon,29,10:50 AM,8:20 PM,9:30,Y,,,,,
13-Jan-20,Mon,31,11:26 AM,8:20 PM,8:54,Y,,,1.5 hours late,,
13-Jan-20,Mon,32,-,-,-,,,Y,,,
14-Jan-20,Tue,30,10:15 AM,10:15 PM,12:0,,,,,,
14-Jan-20,Tue,29,10:25 AM,10:15 PM,11:50,,,,,,
14-Jan-20,Tue,31,10:25 AM,8:15 PM,9:50,,,,,,
14-Jan-20,Tue,32,10:30 AM,8:15 PM,9:45,Y,,,,,
15-Jan-20,Wed,30,10:35 AM,7:22 PM,8:47,Y,,,,,
