UserId,Date,DateTimeIn,DateTimeOut,Day,Hours,Is Late,Is Early,Is Off,Comments,,
30,3-Jan-20,10:12 AM,8:48 PM,Fri,#REF!,,,,,,
29,3-Jan-20,10:05 AM,10:10 PM,Fri,#REF!,,,,,,
31,3-Jan-20,11:00 AM,10:30 PM,Fri,#REF!,Y,,,1 hour late,,
32,3-Jan-20,2:00 PM,10:30 PM,Fri,#REF!,Y,,,"4 hours late, left 30 minutes before",,
30,4-Jan-20,10:10 AM,7:21 PM,Sat,#REF!,,,,,,
29,4-Jan-20,10:05 AM,7:35 PM,Sat,#REF!,,,,,,
31,4-Jan-20,1:20 PM,7:35 PM,Sat,#REF!,,,,,,
32,4-Jan-20,null,null,Sat,-,,,,,,
30,6-Jan-20,10:19 AM,7:20 PM,Mon,#REF!,,,,,,
29,6-Jan-20,10:19 AM,7:20 PM,Mon,#REF!,,,,,,
31,6-Jan-20,12:00 PM,7:45 PM,Mon,#REF!,Y,Y,,2 hours late. Left 1 hour before,,
32,6-Jan-20,11:30 AM,7:45 PM,Mon,#REF!,Y,Y,,"1.5 hours late, left 45 minutes before",,
30,7-Jan-20,10:11 AM,7:20 PM,Tue,#REF!,,,,,,
29,7-Jan-20,10:26 AM,7:20 PM,Tue,#REF!,,,,,,
31,7-Jan-20,11:25 AM,6:50 PM,Tue,#REF!,Y,Y,,"1.5 hours late, Left 1.5 hour before",,
32,7-Jan-20,1:55 PM,9:05 PM,Tue,#REF!,Y,Y,,"4 hours late, left 2 hours before",,
30,8-Jan-20,11:20 AM,10:30 PM,Wed,#REF!,Y,,,1 hour late,,
29,8-Jan-20,10:05 AM,10:46 PM,Wed,#REF!,,,,,,
31,8-Jan-20,11:10 AM,11:00 PM,Wed,#REF!,Y,,,1 hour late,,
32,8-Jan-20,11:20 AM,11:00 PM,Wed,#REF!,Y,,,1 hour late,,
30,9-Jan-20,10:15 AM,9:05 PM,Thu,#REF!,,,,,,
29,9-Jan-20,10:40 AM,8:43 PM,Thu,#REF!,Y,,,1 hour late,,
31,9-Jan-20,11:50 AM,10:00 PM,Thu,#REF!,Y,,,2 hours late,,
32,9-Jan-20,2:55 PM,10:00 PM,Thu,#REF!,Y,Y,,"5 hours late, left 2 hours before",,
30,10-Jan-20,10:19 AM,9:13 PM,Fri,#REF!,,,,,,
29,10-Jan-20,10:13 AM,9:28 PM,Fri,#REF!,,,,,,
31,10-Jan-20,11:00 AM,9:30 PM,Fri,#REF!,Y,,,1 hour late,,
32,10-Jan-20,null,null,Fri,-,,,Y,,,
30,11-Jan-20,null,null,Sat,-,,,,,,
29,11-Jan-20,10:05 AM,8:48 PM,Sat,#REF!,,,,,,
31,11-Jan-20,11:00 AM,7:05 PM,Sat,#REF!,,,,,,
32,11-Jan-20,3:20 PM,9:15 PM,Sat,#REF!,,,,,,
30,13-Jan-20,10:00 AM,8:20 PM,Mon,#REF!,,,,,,
29,13-Jan-20,10:50 AM,8:20 PM,Mon,#REF!,Y,,,,,
31,13-Jan-20,11:26 AM,8:20 PM,Mon,#REF!,Y,,,1.5 hours late,,
32,13-Jan-20,null,null,Mon,-,,,Y,,,
30,14-Jan-20,10:15 AM,10:15 PM,Tue,#REF!,,,,,,
29,14-Jan-20,10:25 AM,10:15 PM,Tue,#REF!,,,,,,
31,14-Jan-20,10:25 AM,8:15 PM,Tue,#REF!,,,,,,
32,14-Jan-20,10:30 AM,8:15 PM,Tue,#REF!,Y,,,,,
30,15-Jan-20,10:35 AM,7:22 PM,Wed,#REF!,Y,,,,,
29,15-Jan-20,10:05 AM,7:40 PM,Wed,#REF!,,,,,,
31,15-Jan-20,10:15 AM,7:40 PM,Wed,#REF!,,,,,,
32,15-Jan-20,1:00 PM,10:15 PM,Wed,#REF!,Y,,,3 hours late,,
30,16-Jan-20,9:20 AM,7:00 PM,Thu,#REF!,,,,,9 AM to 6 PM shift,
29,16-Jan-20,9:15 AM,7:00 PM,Thu,#REF!,,,,,9 AM to 6 PM shift,
31,16-Jan-20,9:15 AM,7:00 PM,Thu,#REF!,,,,,9 AM to 6 PM shift,
32,16-Jan-20,11:15 AM,8:26 PM,Thu,#REF!,Y,,,1 hour late,9 AM to 6 PM shift,
30,17-Jan-20,9:18 AM,8:12 PM,Fri,#REF!,,,,,,
29,17-Jan-20,9:20 AM,8:05 PM,Fri,#REF!,,,,,NOTE: ,No comments on Saturdays
31,17-Jan-20,9:20 AM,8:35 PM,Fri,#REF!,,,,,,
32,17-Jan-20,10:55 AM,8:35 PM,Fri,#REF!,Y,,,2 hours late,,
30,20-Jan-20,9:10 AM,7:20 PM,Mon,#REF!,,,,,,
29,20-Jan-20,9:44 AM,7:20 PM,Mon,#REF!,Y,,,,,
31,20-Jan-20,11:20 AM,5:00 PM,Mon,#REF!,Y,Y,,TIMOUT MISSING - LAST DAY,,
32,20-Jan-20,12:00 PM,7:20 PM,Mon,#REF!,Y,Y,,,,
30,21-Jan-20,9:20 AM,6:30 PM,Tue,#REF!,,,,,,
29,21-Jan-20,9:45 AM,6:30 PM,Tue,#REF!,Y,,,,,
32,21-Jan-20,11:10 AM,6:30 PM,Tue,#REF!,Y,Y,,2 hours late - 2 hours early,,
30,22-Jan-20,9:26 AM,7:50 PM,Wed,#REF!,,,,,,
29,22-Jan-20,9:42 AM,7:50 PM,Wed,#REF!,Y,,,,,
32,22-Jan-20,9:50 AM,7:50 PM,Wed,#REF!,Y,,,,,
30,23-Jan-20,9:20 AM,7:30 PM,Thu,#REF!,,,,,,
29,23-Jan-20,null,null,Thu,-,,,Y,OFF,,
32,23-Jan-20,null,null,Thu,-,,,Y,OFF,,
30,24-Jan-20,9:15 AM,8:30 PM,Fri,#REF!,,,,,,
29,24-Jan-20,9:20 AM,8:30 PM,Fri,#REF!,,,,,,
32,24-Jan-20,9:50 AM,8:30 PM,Fri,#REF!,Y,,,,,
30,27-Jan-20,9:30 AM,9:30 PM,Mon,#REF!,Y,,,,,
29,27-Jan-20,9:15 AM,9:30 PM,Mon,#REF!,,,,,,
32,27-Jan-20,9:55 AM,9:30 PM,Mon,#REF!,Y,,,,,
30,28-Jan-20,9:10 AM,8:50 PM,Tue,#REF!,,,,,,
29,28-Jan-20,9:34 AM,8:10 PM,Tue,#REF!,Y,,,,,
32,28-Jan-20,2:20 PM,8:50 PM,Tue,#REF!,Y,Y,,,,
30,29-Jan-20,9:18 AM,7:10 PM,Wed,#REF!,,,,,10 to 7,
29,29-Jan-20,10:50 AM,7:10 PM,Wed,#REF!,Y,Y,,,10 to 7,
32,29-Jan-20,10:40 AM,7:10 PM,Wed,#REF!,Y,,,,10 to 7,
33,29-Jan-20,10:10 AM,null,Wed,#REF!,,,,,,
34,29-Jan-20,10:10 AM,null,Wed,#REF!,,,,,,
30,30-Jan-20,10:05 AM,8:20 PM,Thu,#REF!,,,,,,
29,30-Jan-20,10:15 AM,8:20 PM,Thu,#REF!,,,,,,
33,30-Jan-20,null,null,Thu,#REF!,,,,,,
34,30-Jan-20,null,null,Thu,#REF!,,,,,,
32,30-Jan-20,11:40 AM,8:35 PM,Thu,#REF!,Y,,,,,
30,31-Jan-20,10:12 AM,7:40 PM,Fri,#REF!,,,,,,
29,31-Jan-20,10:00 AM,8:05 PM,Fri,#REF!,,,,,,
32,31-Jan-20,11:00 AM,8:05 PM,Fri,#REF!,Y,,,,,
33,31-Jan-20,null,null,Fri,#REF!,,,,,,
34,31-Jan-20,null,null,Fri,#REF!,,,,,,
30,3-Feb-20,10:00 AM,8:20 PM,Mon,#REF!,,,,,,
29,3-Feb-20,10:15 AM,9:22 PM,Mon,#REF!,,,,,,
34,3-Feb-20,10:00 AM,7:00 PM,Mon,#REF!,,,,timeout missing,,
33,3-Feb-20,10:00 AM,7:00 PM,Mon,#REF!,,,,timeout missing,,
32,3-Feb-20,11:40 AM,8:40 PM,Mon,#REF!,Y,,,,,
30,4-Feb-20,10:00 AM,7:05 PM,Tue,#REF!,,,,,,
29,4-Feb-20,10:20 AM,7:05 PM,Tue,#REF!,,,,,,
34,4-Feb-20,10:05 AM,6:40 PM,Tue,#REF!,,,,,,
33,4-Feb-20,10:05 AM,4:15 PM,Tue,#REF!,,,,,,
32,4-Feb-20,null,null,Tue,#REF!,,,Y,,,
30,5-Feb-20,10:00 AM,9:36 PM,Wed,#REF!,,,,,,
29,5-Feb-20,11:40 AM,9:36 PM,Wed,#REF!,,,,,,
32,5-Feb-20,1:30 PM,9:36 PM,Wed,#REF!,,,,timeout missing,,
34,5-Feb-20,null,null,Wed,#REF!,,,,,,
33,5-Feb-20,null,null,Wed,#REF!,,,,,,
