UserId,Date,DateTimeIn,DateTimeOut
33,9/1/2020,10:00 AM,7:05 PM
35,9/1/2020,10:00 AM,7:05 PM
38,9/1/2020,10:00 AM,7:05 PM
30,9/1/2020,10:25 AM,7:19 PM
29,9/1/2020,10:28 AM,7:19 PM
33,10/2/2020,9:50 AM,7:00 PM
35,10/2/2020,9:50 AM,7:00 PM
38,10/2/2020,10:00 AM,7:00 PM
30,10/2/2020,10:05 AM,7:15 PM
29,10/2/2020,10:35 AM,7:15 PM
33,10/3/2020,10:00 AM,6:45 PM
35,10/3/2020,10:00 AM,4:30 PM
38,10/3/2020,10:00 AM,6:45 PM
30,10/3/2020,10:15 AM,7:25 PM
29,10/3/2020,10:26 AM,7:25 PM
33,10/4/2020,10:00 AM,6:45 PM
35,10/4/2020,10:00 AM,6:45 PM
38,10/4/2020,10:00 AM,6:45 PM
30,10/4/2020,10:07 AM,7:10 PM
29,10/4/2020,10:30 AM,7:10 PM
33,10/7/2020,10:00 AM,6:55 PM
35,10/7/2020,10:00 AM,6:55 PM
38,10/7/2020,10:00 AM,6:55 PM
30,10/7/2020,10:20 AM,7:10 PM
39,10/7/2020,10:30 AM,8:30 PM
29,10/7/2020,10:37 AM,8:35 PM
39,10/8/2020,10:30 AM,8:00 PM
30,10/8/2020,10:10 AM,7:00 PM
33,10/8/2020,10:00 AM,6:46 PM
35,10/8/2020,10:00 AM,6:46 PM
38,10/8/2020,10:00 AM,6:46 PM
29,10/8/2020,10:15 AM,7:00 PM
38,10/9/2020,9:59 AM,6:43 PM
29,10/9/2020,10:21 AM,7:10 PM
39,10/9/2020,10:35 AM,7:00 PM
30,10/9/2020,null,null
35,10/9/2020,null,null
33,10/9/2020,null,null
33,10/10/2020,10:00 AM,7:00 PM
35,10/10/2020,10:00 AM,4:12 PM
38,10/10/2020,10:00 AM,7:00 PM
30,10/10/2020,10:10 AM,7:00 PM
39,10/10/2020,10:10 AM,7:40 PM
29,10/10/2020,null,null
33,10/11/2020,10:00 AM,6:45 PM
35,10/11/2020,10:00 AM,6:45 PM
38,10/11/2020,10:00 AM,6:45 PM
30,10/11/2020,10:07 AM,7:05 PM
39,10/11/2020,10:20 AM,7:10 PM
29,10/11/2020,10:15 AM,8:00 PM
33,10/14/2020,10:00 AM,7:00 PM
38,10/14/2020,10:00 AM,7:00 PM
30,10/14/2020,10:20 AM,7:15 PM
29,10/14/2020,10:20 AM,7:10 PM
39,10/14/2020,10:20 AM,7:20 PM
40,10/14/2020,10:25 AM,7:20 PM
33,10/15/2020,10:07 AM,6:50 PM
35,10/15/2020,10:07 AM,4:30 PM
38,10/15/2020,10:07 AM,4:30 PM
29,10/15/2020,10:23 AM,6:45 PM
39,10/15/2020,10:30 AM,7:00 PM
40,10/15/2020,10:00 AM,7:00 PM
30,10/15/2020,null,null
29,10/16/2020,10:56 AM,6:59 PM
33,10/16/2020,9:47 AM,7:16 PM
35,10/16/2020,9:50 AM,6:32 PM
38,10/16/2020,10:01 AM,7:22 PM
40,10/16/2020,11:02 AM,7:25 PM
39,10/16/2020,10:01 AM,7:23 PM
30,10/16/2020,10:12 AM,7:16 PM
29,10/17/2020,10:14 AM,7:15 PM
33,10/17/2020,10:15 AM,6:52 PM
35,10/17/2020,10:15 AM,4:41 PM
38,10/17/2020,10:15 AM,6:52 PM
40,10/17/2020,10:14 AM,7:10 PM
39,10/17/2020,10:14 AM,null
30,10/18/2020,10:00 AM,11:45 PM
33,10/18/2020,10:05 AM,6:45 PM
35,10/18/2020,10:05 AM,6:45 PM
38,10/18/2020,10:05 AM,6:45 PM
40,10/18/2020,10:00 AM,7:30 PM
29,10/18/2020,10:25 AM,11:45 PM
39,10/18/2020,11:30 AM,8:30 PM
30,10/21/2020,10:06 AM,7:28 PM
33,10/21/2020,10:06 AM,7:00 PM
35,10/21/2020,10:06 AM,7:00 PM
38,10/21/2020,10:06 AM,7:00 PM
41,10/21/2020,10:06 AM,7:00 PM
40,10/21/2020,10:07 AM,7:05 PM
29,10/21/2020,10:40 AM,7:28 PM
39,10/21/2020,10:50 AM,8:00 PM
30,10/22/2020,10:12 AM,8:12 PM
29,10/22/2020,10:12 AM,8:12 PM
33,10/22/2020,10:12 AM,6:45 PM
