UserId,Date,DateTimeIn,DateTimeOut
33,1-Sep-20,10:00 AM,7:05 PM
35,1-Sep-20,10:00 AM,7:05 PM
38,1-Sep-20,10:00 AM,7:05 PM
30,1-Sep-20,10:25 AM,7:19 PM
29,1-Sep-20,10:28 AM,7:19 PM
33,2-Sep-20,9:50 AM,7:00 PM
35,2-Sep-20,9:50 AM,7:00 PM
38,2-Sep-20,10:00 AM,7:00 PM
30,2-Sep-20,10:05 AM,7:15 PM
29,2-Sep-20,10:35 AM,7:15 PM
33,3-Sep-20,10:00 AM,6:45 PM
35,3-Sep-20,10:00 AM,4:30 PM
38,3-Sep-20,10:00 AM,6:45 PM
30,3-Sep-20,10:15 AM,7:25 PM
29,3-Sep-20,10:26 AM,7:25 PM
33,4-Sep-20,10:00 AM,6:45 PM
35,4-Sep-20,10:00 AM,6:45 PM
38,4-Sep-20,10:00 AM,6:45 PM
30,4-Sep-20,10:07 AM,7:10 PM
29,4-Sep-20,10:30 AM,7:10 PM
33,7-Sep-20,10:00 AM,6:55 PM
35,7-Sep-20,10:00 AM,6:55 PM
38,7-Sep-20,10:00 AM,6:55 PM
30,7-Sep-20,10:20 AM,7:10 PM
39,7-Sep-20,10:30 AM,8:30 PM
29,7-Sep-20,10:37 AM,8:35 PM
39,8-Sep-20,10:30 AM,8:00 PM
30,8-Sep-20,10:10 AM,7:00 PM
33,8-Sep-20,10:00 AM,6:46 PM
35,8-Sep-20,10:00 AM,6:46 PM
38,8-Sep-20,10:00 AM,6:46 PM
29,8-Sep-20,10:15 AM,7:00 PM
38,9-Sep-20,9:59 AM,6:43 PM
29,9-Sep-20,10:21 AM,7:10 PM
39,9-Sep-20,10:35 AM,7:00 PM
30,9-Sep-20,null,null
35,9-Sep-20,null,null
33,9-Sep-20,null,null
33,10-Sep-20,10:00 AM,7:00 PM
35,10-Sep-20,10:00 AM,4:12 PM
38,10-Sep-20,10:00 AM,7:00 PM
30,10-Sep-20,10:10 AM,7:00 PM
39,10-Sep-20,10:10 AM,7:40 PM
29,10-Sep-20,null,null
33,11-Sep-20,10:00 AM,6:45 PM
35,11-Sep-20,10:00 AM,6:45 PM
38,11-Sep-20,10:00 AM,6:45 PM
30,11-Sep-20,10:07 AM,7:05 PM
39,11-Sep-20,10:20 AM,7:10 PM
29,11-Sep-20,10:15 AM,8:00 PM
33,14-Sep-20,10:00 AM,7:00 PM
38,14-Sep-20,10:00 AM,7:00 PM
30,14-Sep-20,10:20 AM,7:15 PM
29,14-Sep-20,10:20 AM,7:10 PM
39,14-Sep-20,10:20 AM,7:20 PM
40,14-Sep-20,10:25 AM,7:20 PM
33,15-Sep-20,10:07 AM,6:50 PM
35,15-Sep-20,10:07 AM,4:30 PM
38,15-Sep-20,10:07 AM,4:30 PM
29,15-Sep-20,10:23 AM,6:45 PM
39,15-Sep-20,10:30 AM,7:00 PM
40,15-Sep-20,10:00 AM,7:00 PM
30,15-Sep-20,null,null
29,16-Sep-20,10:56 AM,6:59 PM
